lf_indekso;;;;;;;;;;;
lf_indekso;;;;;;;;;;;
jaro;monato;n-ro;paĝo(j);aŭtoro(j);titolo;tradukis;fontlingvo;rubriko;ŝlosilvorto;recenzita verko/filmo;tipologio
34 - 2003;februaro;201;49-53;Vinko Ošlak;La dua letero al slovenoj;;;ESEO;artikolo;;eseo originala
34 - 2003;februaro;201;54;Heroldo Komunikas;Marc Hiltbrand konfirmita;;;REDAKCIE;informo;;anonco
34 - 2003;aprilo;202;59-61;Bertold Brecht;Legendo pri la morta soldato;Hans-Georg Kaiser;germana;UVERTURO;poemo;;poezio tradukita
34 - 2003;aprilo;202;62;Walter Żelazny;Deklaro pri la baldaŭa milito;;;KULTURPOLITIKO;dokumento;;eseo originala
34 - 2003;aprilo;202;63-68;Nicolino Rossi;Esplorvojaĝo tra la originalaj poemoj de L. L. Zamenhof (1);;;ZAMENHOFOLOGIO;poemo;;poezio originala
34 - 2003;aprilo;202;69-72;Isak Pasi;La elaĉeto;Dimitar Haĝiev;bulgara;ESEO;eseo;;eseo tradukita
34 - 2003;aprilo;202;73-76;Oleg Izjumenko;Kontraŭstari senperforte;;;KULTURPOLITIKO;historio;;eseo originala
34 - 2003;aprilo;202;77;Venelin Mitev;Ne vundu poiome;;;BELETRO;poemo;;poezio originala
34 - 2003;aprilo;202;78-80;Ljubomir Trifonĉovski;Nova kontribuo al nia originala teatro;;;INTERVJUO;prozo;;intervjuo
34 - 2003;aprilo;202;81-83;Constantin Dominte;La okuloj de la imperiestro;;;ESEO;artikolo;;eseo originala
34 - 2003;aprilo;202;84-85;Radosław Nowakowski;Talento;;;ESEO;artikolo;;eseo originala
34 - 2003;aprilo;202;86;A. S. Puŝkin;El Pindemonti;Mikael Giŝpling;rusa;BELETRO;poemo;;poezio tradukita
34 - 2003;aprilo;202;87-98;Sabira Stahlberg kaj Anja Karkiainen;Pejko, Elfi kaj Tonti aŭ La granda trezor-serĉado;;;INFANLITERATURO;teatraĵo por infanoj;;teatro originala
34 - 2003;aprilo;202;99-100;Carlo Minnaja;Ekvilibre, kun stumbletoj;;;EN VITRINO;recenzo;Nikolao Gudskov (2002), Epitomo de esperantologio;recenzo
34 - 2003;aprilo;202;101-102;Vimala Devi;Dubo;;;BELETRO;novelo;;prozo originala
34 - 2003;aprilo;202;103-104;Valdo Banaitis;Voĉo por la libro voĉa!;;;KOMENTARIO;artikolo;;eseo originala
34 - 2003;aprilo;202;105;Laĉezar Krastev;Bretone, esperante, koruse;;;MUZIKO;artikolo;;eseo originala
34 - 2003;aprilo;202;106;Sabine Trenner;"El ""Ink-(a)ludoj"": Kul-turo";;;HUMURO;poemo/desegnoforma;;poezio originala
34 - 2003;aprilo;202;107-108;Tibor Papp;"Kial ne ""sportas"" la sportistoj?";;;ESPERANTOLOGIO;eseo;;eseo originala
34 - 2003;aprilo;202;109;Gilbret Ledon;Fluge, flugen…;;;MEMORE PRI;letero;;nekrologo
34 - 2003;aprilo;202;110;La Redakcio;Daniel Muhlemann prezidas;;;SPECIALE KCE;heko informoj;;anonco
34 - 2003;junio;203;115;Jan Stanisław Skorupski;Hodiaŭ estas mia naskiĝtago;;;UVERTURO;poemo;;poezio originala
34 - 2003;junio;203;116-120;Carlo Minnaja;La arto fariĝi centjara;;;REDAKCIE;eseo;;anonco
34 - 2003;junio;203;121-125;Nicolino Rossi;Esplorvojaĝo tra la originalaj poemoj de L. L. Zamenhof (2);;;ZAMENHOFOLOGIO;eseo;;eseo originala
34 - 2003;junio;203;126;Milena Makaveeva;El la oceano de elektroniksonoj;;;MUZIKO;recenzo;(2003), Elektronika Kompilo, eld. Vivilkosmo (KD);recenzo
34 - 2003;junio;203;127-154;Giorgio Silfer, Jordan (Dany) Todorov (notoj);La familio de Anto Speri;;;TEATRO;teatraĵo;;teatro originala
34 - 2003;junio;203;155;Ljubomir Trifonĉovski;Fruktodona tempo en nia originala prozo;;;KONKURSFAKO;konkurso;;anonco
34 - 2003;junio;203;156-158;Dimitar Haĝiev;L. L. Zamenhof laŭ du ruslingvaj judaj enciklopedioj;;;KOMENTARIO;dokumento;;eseo originala
34 - 2003;junio;203;159-160;Jarlo Martelmonto;Io vere mirinda;;;EN VITRINO;recenzo;Selma Lagerlof (2000), La mirinda vojaĝo de Nils Holgersson, tr. Sten Johansson;recenzo
34 - 2003;junio;203;161-164;Ernst Hemingway;Pura, bone lumigita kafejo;Hans-Georg Kaiser;angla;BELETRO;prozo;;prozo tradukita
34 - 2003;junio;203;165-166;Sabira Stahlberg;La silenta laŭta voĉo;;;SPECIALE PEN;recenzo;Martha Cerda, komp. kaj Iride Rossi de Fiori, red. (2001), Nuestra Voz — Notre Voix — Our Voice I-II, International P.E.N. Women Writers Committee (IPWWO);recenzo
34 - 2003;aŭgusto;204;171-172;William Shakespeare;"""Hamleto"" (el akto tria, sceno unua)";L. L. Zamenhof;angla;UVERTURO;teatraĵo;;teatro tradukita
34 - 2003;aŭgusto;204;173-178;Walter Żelazny;La lingva politiko de la Eŭropa Komunumaro kaj esperanto;;;KULTURPOLITIKO;eseo;;eseo originala
34 - 2003;aŭgusto;204;179-180;Heroldo Komunikas;Ĉaŭdefono 2003: du kongresoj en unu;;;ESEO;dokumento;;eseo originala
34 - 2003;aŭgusto;204;181-184;Nicolino Rossi;Esplorvojaĝo tra la originalaj poemoj de L. L. Zamenhof (3);;;ZAMENHOFOLOGIO;eseo;;eseo originala
34 - 2003;aŭgusto;204;185-187;Carlo Minnaja;En la paŝoj ne nur fikcio, ankaŭ profundaj pensoj;;;DIDAKTIKO;recenzo;"William Auld (2001), Paŝoj al plena posedo, (3a eldono
komplete reviziita)";recenzo
34 - 2003;aŭgusto;204;188-190;Vinko Ošlak;Kiam la silento krias;;;EN VITRINO;recenzo;István Nemere (2002), Krias la silento;recenzo
34 - 2003;aŭgusto;204;191-192;Radosław Nowakowski;Formo kaj enhavo;;;ESEO;artikolo;;eseo originala
34 - 2003;aŭgusto;204;193-201;Mikaelo Bronŝtejn;Suneto mia fora delonge ne aperis…;;;BELETRO;poemo;;poezio originala
34 - 2003;aŭgusto;204;202-204;André Cherpillod;Koreio, Koreano kaj aliaj landnomaj problemoj;;;KOMENTARIO;publika letero;;prozo originala
34 - 2003;aŭgusto;204;205-208;Armando Zecchin;La elaĉeto laŭ kristanismo;;;KOMENTARIO;eseo;;eseo originala
34 - 2003;aŭgusto;204;209-211;Grozdenka Filipova;Serĉo de vojoj per kiuj vi venkos la malfacilaĵojn;;;MEMORE PRI;memore;;nekrologo
34 - 2003;aŭgusto;204;211;Friedrich Holderlin;Duono de l’ vivo;Hans-Georg Kaiser;germana;BELETRO;poemo;;poezio tradukita
34 - 2003;aŭgusto;204;212-214;Dimitar Haĝiev;Esperanto: minuskle aŭ majuskle?;;;ESPERANTOLOGIO;eseo;;eseo originala
34 - 2003;aŭgusto;204;215-216;Michel Duc Goninaz;Tial jubilea kongreso ne eblis en Pollando;;;KOMENTARIO;historio;;eseo originala
34 - 2003;aŭgusto;204;217-219;Sabira Stahlberg;Misteraj mistifikoj;;;LINGVISTIKO;recenzo;"André Cherpillod (2003), La misteroj de la ĉina skribo /
Les mystères de l'écriture chinoise, dulingva eseo";recenzo
34 - 2003;aŭgusto;204;220;Valentin Melnikov;Sobrulo;;;HUMURO;konkurso ekra;;prozo originala
34 - 2003;aŭgusto;204;221-220;Julian Modest;La kvietulo;;;BELETRO;prozo;;prozo originala
34 - 2003;oktobro;205;227-228;Fra Gaeta;Kvarverse okope;;;UVERTURO;poemo;;poezio originala
34 - 2003;oktobro;205;229;Perla Martinelli;Poeto de malfeliĉuloj;;;KONKURSFAKO;artikolo;;eseo originala
34 - 2003;oktobro;205;230-234;Nicolino Rossi;Esplorvojaĝo tra la originalaj poemoj de L. L. Zamenhof (4);;;ZAMENHOFOLOGIO;eseo;;eseo originala
34 - 2003;oktobro;205;235-236;Anatolo Gonĉarov;Civitaj hejmoj;;;KULTURPOLITIKO;dokumento;;eseo originala
34 - 2003;oktobro;205;237-238;Sabira Shun;La tradukita Nemeza;;;EN VITRINO;recenzo;Alfred Nobel (2003), Nemesis - Nemeza: tragedio en kvar aktoj, tr. Gunnar Gällmo;recenzo
34 - 2003;oktobro;205;239-249;Carlo Minnaja;La instrumentoj de komputa lingvistiko;;;PLANLINGVISTIKO;prelego;;eseo originala
34 - 2003;oktobro;205;250;Isabel Allende;La domo de la spiritoj, 1982;;;MEMORE PRI;memoro;;eseo originala
34 - 2003;oktobro;205;251-255;Heinrich Heine;La sklavoŝipo;Cezar;germana;BELETRO;poemo;;poezio tradukita
34 - 2003;oktobro;205;256-258;Cezar;Temlinio: Heinrich Heine;;;REDAKCIE;letero;;anonco
34 - 2003;oktobro;205;259-260;Massimo Acciai;Memoraĵoj de evoluinta kvarmanulo;;;ESEO;artikolo;;eseo originala
34 - 2003;oktobro;205;261-263;rolfo;Ne ordinara lernilo, sed fakverko;;;ESPERANTOLOGIO;recenzo;Yamasaki Seikô (2000),  Enkonduko en la japanan;recenzo
34 - 2003;oktobro;205;264-265;Ljubomir Trifonĉovski;Kaj denova alto per plej granda salto;;;TEATRO;recenzo;Giorgio Silfer (2003), La familio de Anto Speri (tri aktoj);recenzo
34 - 2003;oktobro;205;266-268;Sten Johansson;La fina Venecio;;;BELETRO;prozo;;prozo originala
34 - 2003;oktobro;205;269;Ljubomir Trifonĉovski;Esperanta PEN ne voĉdonis por ŝanĝoj en la Ĉarto;;;SPECIALE PEN;konferenco;;anonco
34 - 2003;oktobro;205;270;Magia Cigana;Aŭskultu finfine la zefiron…;;;BELETRO;eseo;;poezio originala
34 - 2003;oktobro;205;271-274;Maks Nadal;Oblikvaj rigardoj (filozofiaj notoj pri nia nuntempo);;;BELETRO;taglibro;;prozo originala
34 - 2003;oktobro;205;275-276;Zorka Vinceljak;Epigramoj;;;HUMURO;ekra-2003/konkurso;;prozo originala
34 - 2003;oktobro;205;277-278;Nicolae Macovei;Nomen est omen;;;LINGVISTIKO;artikolo;;eseo originala
34 - 2003;decembro;206;283;Giorgio Silfer;Kareso vortobrila;;;UVERTURO;poemo;;poezio originala
34 - 2003;decembro;206;284-285;Perla Martinelli;En la Meksika Mondkongreso nia lingvo digne reprezentiĝis;;;SPECIALE PEN;dokumento;;eseo originala
34 - 2003;decembro;206;286-292;Walter Żelazny;La lingva politiko de la Eŭropa Komunumaro kaj esperanto (2);Robert Szymanski;pola;KULTURPOLITIKO;dokumento;;eseo tradukita
34 - 2003;decembro;206;293-295;Ljubomir Trifonĉovski;De Voss al vosto;;;KULTURPOLITIKO;historio;;eseo originala
34 - 2003;decembro;206;296-301;Nicolino Rossi;Espolvojaĝo tra la originalaj poemoj de L. L. Zamenhof (5);;;ZAMENHOFOLOGIO;eseo;;eseo originala
34 - 2003;decembro;206;302-305;Ani Topalĝikova;Al kiu aŭ por kio srvas la intelektulo?;Dimitar Haĝiev;bulgara;ESEO;prozo;;prozo tradukita
34 - 2003;decembro;206;306;Sten Johansson;Koreoj en Koreio;;;KOMENTARIO;opinio;;eseo originala
34 - 2003;decembro;206;307;Hirotaka Masaaki;Blanka inspiro (dek sep hajkoj);;;BELETRO;poemo;;poezio originala
34 - 2003;decembro;206;308-310;Tino Terzi;Paco sur la tero;;;NOVJARA SALUTO;novelo;;prozo originala
34 - 2003;decembro;206;311-316;Cezar;Tri prozpoemoj pri la stranga amo al lucena virino;;;BELETRO;poezio;;poezio originala
34 - 2003;decembro;206;317-318;Jiří Petara;Unue studi la geografion kaj nur poste juĝi;;;ESPERANTOLOGIO;eseo;;eseo originala
34 - 2003;decembro;206;319-328;Manuel de Seabra;1976: Dipatrino de Mukueba;;;BELETRO;novelo;;poezio originala
34 - 2003;decembro;206;329-330;Marie-France Conde Rey;...ne petanta de la ŝtonoj varmon;;;EN VITRINO;recenzo;Lilia Nikolova (2003), La libero ami;recenzo
34 - 2003;decembro;206;331-332;Anatolo Gonĉarov;Tetrasociologio: agnosko de esperanto;;;SCIENCO;recenzo;Leo Semaŝko k.a. (2003), Tetrasociologio: de sociologia imagpovo tra dialogo al universalaj valorajoj kaj harmonio;recenzo
34 - 2003;decembro;206;333;Ilia Iliev;Amuza perfektiga libreto;;;DIDAKTIKO;recenzo;Sten Johansson (2003), Kion ajn;recenzo
34 - 2003;decembro;206;334;;Nia agendo je via servo (programo de KCE);;;SPECIALE KCE;programo;;anonco
35 - 2004;februaro;207;3;John S. Dinwudie;Strebado;;;UVERTURO;poemo;;poezio originala
35 - 2004;februaro;207;4-6;Nadine Gordimer;Kultura diverseco kaj esprimlibero;;;SPECIALE PEN;prelego;;anonco
35 - 2004;februaro;207;7-9;Leen Deij;Dokistoj kaj teatro;;;TEATRO;eseo;;teatro originala
35 - 2004;februaro;207;10-11;Walter Żelazny;Konstrui sian identecon je Esperanto kaj ties kulturo;;;NOVJARA SALUTO;dokumento;;eseo originala
35 - 2004;februaro;207;12-15;Giorgio Silfer;Sata… kvankam ankoraŭ ne tiel plena;;;LINGVISTIKO;recenzo;Michel Duc Goninaz kaj aliaj (2002), La nova plena ilustrita vortaro de Esperanto;recenzo
35 - 2004;februaro;207;16-20;Iván T. Berend;Lingva naciismo: popola tradicio kaj lingvaj reformoj;Ottó Haszpra;hungara;KULTURPOLITIKO;eseo;;eseo tradukita
35 - 2004;februaro;207;21-23;Kris Long;Vortnaskitoj;;;TRADUKARTO;recenzo;"Nikolaj Gogol (2001), Malvivaj animoj, tr. Vladimir
Vyĉegĵanin";recenzo
35 - 2004;februaro;207;24;La Redakcio;Svislando invitas ĉiusezone;;;SPECIALE KCE;programo;;anonco
35 - 2004;februaro;207;25-26;;La ĉemizo de la kontentulo (popolfabelo);Carlo Minnaja;itala;BELETRO;popola fabelo;;prozo tradukita
35 - 2004;februaro;207;27-29;Zvonko Taneski;Mi senvestiĝas;Venelin Mitev;makedona;NOVJARA SALUTO;poemo;;poezio tradukita
35 - 2004;februaro;207;30;Alga Guernieri;La Verko de la Jaro 2003;;;KONKURSFAKO;konkurso;;anonco
35 - 2004;februaro;207;31-32;Gregory Dolgin;Du poemoj;;;BELETRO;poemoj;;poezio originala
35 - 2004;februaro;207;33-34;Fritz Utzeri;Trista mateno;Aloisio Sartorato;portugala;BELETRO;prozo;;prozo tradukita
35 - 2004;februaro;207;35-37;Walter Żelazny;La vojo sen elirebleco;;;EN VITRINO;recenzo;Roman Dobrzynski (2003), La Zamenhof-strato;recenzo
35 - 2004;februaro;207;38;Miron Slabczyk;Lidja Zamenhof, 1904-1942;;;REDAKCIE;prelegoj;;anonco
35 - 2004;februaro;207;39-42;Vinko Ošlak;La maltaŭga poŝtisto;;;BELETRO;romano;;poezio originala
35 - 2004;februaro;207;43-44;Radosław Nowakowski;Pri ekzercado;;;ESEO;artikolo;;eseo originala
35 - 2004;februaro;207;45-48;Eduard Petiŝka;Midaso;Cezar;ĉeĥa;BELETRO;prozo;;prozo tradukita
35 - 2004;februaro;207;49-50;Radojica Petroviĉ;Leginda, sed ne esperu tro;;;EN VITRINO;recenzo;Eugène de Zilah (2002), Kaj kiu pravas;recenzo
35 - 2004;februaro;207;51-53;Armando Zecchin;Kial blinda la fervoro en vere religia zamenhofa himno?;;;KOMENTARIO;eseo;;eseo originala
35 - 2004;februaro;207;54;Valdo Banaitis;Por ĉiu signo - propra loko;;;ESPERANTOLOGIO;artikolo;;eseo originala
35 - 2004;aprilo;208;59;Ludmila Jevsejeva;Vespere;;;UVERTURO;poemo;;poezio originala
35 - 2004;aprilo;208;60-63;Dimitar Haĝiev kun Valeri Petrov;La arto traduki Ŝekspiron;;;INTERVJUO;prozo;;intervjuo
35 - 2004;aprilo;208;64-70;Valeri Petrov;Pri la tempo kaj la eterneco;Dimitar Haĝiev;bulgara;ESEO;eseo;;eseo tradukita
35 - 2004;aprilo;208;71-80;Humphrey Tonkin;Pri tradukado en esperanto;;;TRADUKARTO;eseo;;eseo originala
35 - 2004;aprilo;208;81-82;Giorgio Silfer;Kabe, Kalocsay, Newell;;;TRADUKARTO;artikolo;;eseo originala
35 - 2004;aprilo;208;83-86;Salvador Dali;La lasta manifesto. La realismo;Abel Montagut;kataluna;REDAKCIE;eseo;;anonco
35 - 2004;aprilo;208;87-88;Perla Martinelli;Libro nekutima, inda riĉigi nian tradukan korpuson;;;EN VITRINO;recenzo;M.L. Portilla (2001), Tra l' okuloj de l' venkitoj;recenzo
35 - 2004;aprilo;208;89-94;Iván T. Berend;Lingva naciismo: popola tradicio kaj lingvaj reformoj (2);Ottó Haszpra;hungara;KULTURPOLITIKO;eseo;;eseo tradukita
35 - 2004;aprilo;208;95-96;Aleksandar Ŝivarov;Momenton, mi tuj kontrolos la agendon;;;EN VITRINO;recenzo;André Cherpillod (2003), La kalendaro tra la tempo, tra la spaco;recenzo
35 - 2004;aprilo;208;97;Giorgio Silfer;Amsterdam/o;;;HISTORIO;artikolo;;eseo originala
35 - 2004;aprilo;208;98;Aloisio Sartorato;Ludoviko;;;HUMURO;poemo;;poezio originala
35 - 2004;aprilo;208;99-101;Mikaelo Giŝpling;Kontraŭ la propono de Albault;;;ESPERANTOLOGIO;eseo;;eseo originala
35 - 2004;aprilo;208;102;Ilia Iliev;Jankéus ne policisto sed instruisto;;;EN VITRINO;recenzo;Sten Johansson (2003), Memor' mortiga;recenzo
35 - 2004;aprilo;208;103-104;István Nemere;Serĉisto de mortintoj;;;BELETRO;prozo;;prozo originala
35 - 2004;aprilo;208;105-106;Radosław Nowakowski;Pri enuo;;;ESEO;artikolo;;eseo originala
35 - 2004;aprilo;208;107-109;Tome Momirovski;Paĝoj el mia reta historio;Don Harlow;angla;SPECIALE PEN;prelego;;anonco
35 - 2004;aprilo;208;108;Jean-Thierry von Büren;Kultura Esperanto-Semajno;;;REDAKCIE;anonco;;anonco
35 - 2004;aprilo;208;110;Senatanoj de la Esperanta Civito;Okaze de la 8a de Marto 2004;;;REDAKCIE;dokumento;;eseo originala
35 - 2004;junio;209;115;Anja Karkiainen;Tiaj someroj;;;UVERTURO;poemo;;poezio originala
35 - 2004;junio;209;116-118;Giorgio Silfer;Pri la arto de Serĝo Elgo;;;HISTORIO;eseo;;eseo originala
35 - 2004;junio;209;119-130;Friedrich Engels;La kontribuo de la laboro por la homiĝo de la simio;Hans-Georg Kaiser;germana;FILOZOFIO;eseo;;eseo tradukita
35 - 2004;junio;209;131-138;Vinko Ošlak;Ĉu Engelso pravis, ĉu do la homo vere originas el simio?;;;KOMENTARIO;eseo;;eseo originala
35 - 2004;junio;209;139-142;Leen C. Deij;La sennomaj portis nomon;;;MEMORE PRI;poemoj;;poezio originala
35 - 2004;junio;209;143;Bertil Nilsson;Instituto Dietterle naskiĝis;;;HISTORIO;dokumento;;eseo originala
35 - 2004;junio;209;144-145;Massimo Acciai;Ni devas ilin legi kaj relegi;;;HISTORIO;dokumento;;eseo originala
35 - 2004;junio;209;146;La Redakcio;Certe por Cetercetere;;;KONKURSFAKO;dokumento;;anonco
35 - 2004;junio;209;147-152;Anton Pavloviĉ Ĉeĥov;La damo kun hundeto (1);Aleksander Korĵenkov;rusa;BELETRO;romano;;prozo tradukita
35 - 2004;junio;209;153-154;Radosław Nowakowski;Pri energio;;;ESEO;artikolo;;eseo originala
35 - 2004;junio;209;155;Harry Martinson;Vojplolvo, la fatalisto;Bertil Nilsson;sveda;ESEO;artikolo;;eseo tradukita
35 - 2004;junio;209;156-158;Gunnar Gaalmö;De ideologia sakstrato al la Budha vojo;;;KONKURSFAKO;eseo;;eseo originala
35 - 2004;junio;209;159-165;Horst Vogt;Kolegoj;;;HUMURO;eseo;;eseo originala
35 - 2004;junio;209;166;Walter Żelazny;Deklaro pri la Konstitucia Traktato;;;ESEO;dokumento;;eseo originala
35 - 2004;junio;209;166;Fra Gaeta;Al Eŭropa Unio;;;REDAKCIE;aktuale;;anonco
35 - 2004;aŭgusto;210;171;Czesław Miłosz;"el ""Enfant d’ Europe""";Giorgio Silfer;pola;UVERTURO;poemo;;poezio tradukita
35 - 2004;aŭgusto;210;173-180;Zofia Banet-Fornalowa;Pri la juda klerismo kaj esperanto iom pli vaste (1);;;HISTORIO;eseo;;eseo originala
35 - 2004;aŭgusto;210;181-182;Giorgio Silfer;Eŭropa kulturo - eŭropaj kulturoj?;;;SPECIALE PEN;dokumento;;anonco
35 - 2004;aŭgusto;210;183-188;Nikolaj Vasilev;La globala homeco;Dimitar Haĝiev;bulgara;ESEO;artikolo;;eseo tradukita
35 - 2004;aŭgusto;210;189-190;Georg Heym;Viaj okuloj, la longaj;Donjo kaj Cezar;germana;BELETRO;poemo;;poezio tradukita
35 - 2004;aŭgusto;210;191-197;Anton Pavloviĉ Ĉeĥov;La damo kun hundeto (2);Aleksander Korĵenkov;rusa;BELETRO;romano;;prozo tradukita
35 - 2004;aŭgusto;210;198;Penka Papazova;Du poemoj;;;BELETRO;poemoj;;poezio originala
35 - 2004;aŭgusto;210;199-204;Hanifa Kapadĵic-Osmanagiĉ;Seksa malsameco - teksta malsameco;Marie-France Conde Rey;franca;FEMINISMO;eseo;;eseo tradukita
35 - 2004;aŭgusto;210;205-206;Heloísa Seixas;Entrudiĝo;;;BELETRO;prozo;;prozo originala
35 - 2004;aŭgusto;210;207-208;Radosław Nowakowski;Pri la popkulturo kaj la eliteco;;;ESEO;artikolo;;eseo originala
35 - 2004;aŭgusto;210;209-210;Julian Modest;Dani;;;BELETRO;prozo;;prozo originala
35 - 2004;aŭgusto;210;211-217;Jiří Patera;Pri la ĉeĥaj literaturaj falsaĵoj;;;KOMENTARIO;eseo;;eseo originala
35 - 2004;aŭgusto;210;218;Milena Makaveeva;Strika tango, por ni;;;EN VITRINO;recenzo;Strika Tango (2004), Civilizacio, eld. Vinilkosmo (KD);recenzo
35 - 2004;aŭgusto;210;219-222;Christian Riviere;Raporto de pratempo;;;HUMURO;ekra-2004;;prozo originala
35 - 2004;oktobro;211;227;William Auld;Vi estas maro;;;UVERTURO;poemo;;poezio originala
35 - 2004;oktobro;211;228;Perla Martinelli;Kio ni estas - kien ni iras;;;SPECIALE KCE;simpozio;;anonco
35 - 2004;oktobro;211;229-233;Giorgio Silfer;Komunikado kaj reprezento (1);;;ESEO;prelgo;;eseo originala
35 - 2004;oktobro;211;234-236;La Komitato;Esperanto en la fokuso de mondkongreso;;;SPECIALE PEN;raporto;;anonco
35 - 2004;oktobro;211;237-238;Sten Johansson;La domo;;;BELETRO;prozo;;prozo originala
35 - 2004;oktobro;211;239-240;Perla Martinelli;Mortis la poeto de Eŭropo;;;MEMORE PRI;omaĝo;;nekrologo
35 - 2004;oktobro;211;241-242;Marie-France Conde Rey;Poezia triptiko;;;BELETRO;poezio;;poezio originala
35 - 2004;oktobro;211;243;La Redakcio;Johan Hammond Rosbach kaj Literatura Foiro;;;MEMORE PRI;omaĝo;;nekrologo
35 - 2004;oktobro;211;244-251;rolfo;Profundkone traverkita resumo pri la budhismo;;;EN VITRINO;recenzo;Gunnar Gällmo (2002), Kelkaj faktoj pri la budhismo;recenzo
35 - 2004;oktobro;211;252-255;Hermann Hesse;"El ""Siddhartha""";Bertil Nilsson;germana;BELETRO;eseo;;prozo tradukita
35 - 2004;oktobro;211;256;Venelin Mitev;Gunnar Gällmo plene sukcesis;;;TRADUKARTO;recenzo;(2002), La Dharmo-pado, tr. Gunnar Gällmo;recenzo
35 - 2004;oktobro;211;257;Grytzko Mascioni;La spiro de la nokto;Giorgio Silfer kaj Perla Martinelli;itala;HISTORIO;poemo;;poezio tradukita
35 - 2004;oktobro;211;258-259;Radosław Nowakowski;Pri la bezono de arto;;;ESEO;artikolo;;eseo originala
35 - 2004;oktobro;211;260;Ruben Fernandez Gonzales;Rememoroj pri dolĉa patrino;;;HUMURO;artikolo;;prozo originala
35 - 2004;oktobro;211;261-262;Marilia Jackelyne Nunes, Mayra Izis de Lucena Nunes;Du junaj voĉoj el Brazilo;Pekim Tenorio Vaz;portugala;BELETRO;poemoj;;poezio tradukita
35 - 2004;oktobro;211;263-268;Zofia Banet-Fornalowawa;Pri la juda klerismo kaj esperanto iom pli vaste (2);;;HISTORIO;artikolo;;eseo originala
35 - 2004;oktobro;211;269-270;Isaak Babel;Doudou;Grigorij Arosev;rusa;ESEO;eseo;;eseo tradukita
35 - 2004;oktobro;211;271-272;Dimitar Haĝiev;Pri recenzoj;;;KOMENTARIO;artikolo;;eseo originala
35 - 2004;oktobro;211;273;Francois Sagan;Bonan tagon, tristeco;;;MEMORE PRI;omaĝo;;nekrologo
35 - 2004;oktobro;211;274;Ljubomir Trifonĉovski;Naskiĝis nova ĝenro en la verda teatro;;;TEATRO;novaĵo;;anonco
35 - 2004;oktobro;211;275-277;Christian Riviere;Sablo-ŝtormo;;;BELETRO;poezio en prozo;;poezio originala
35 - 2004;decembro;212;283;Ljudmila Novikova;La verda talismano;;;UVERTURO;poemo;;poezio originala
35 - 2004;decembro;212;284-288;Giorgio Silfer kun William kaj Meta Auld;Ĉefverko, kie spaco iĝis dimensio de tempo;;;INTERVJUO;prozo;;intervjuo
35 - 2004;decembro;212;289-292;Dimitar Haĝiev;Kiuj estas la dogmoj de la zamenhofa blinda fervoro?;;;KOMENTARIO;eseo;;eseo originala
35 - 2004;decembro;212;293-300;Giorgio Silfer, kun intervenoj de Walter Żelazny, Vinko Oŝlak, Kep Enderby;Komunikado kaj reprezento (2);;;ESEO;prelego;;eseo originala
35 - 2004;decembro;212;301-302;Grytzko Mascioni;La landlimo ĉekore de la mondo;Paul Gubbins;angla;SPECIALE PEN;dokumento;;anonco
35 - 2004;decembro;212;303-304;Radosław Nowakowski;Pri verkado;;;ESEO;artikolo;;eseo originala
35 - 2004;decembro;212;305;Giorgio Silfer, Vinko Ošlak, Ljubomir Trifonĉovski;Elfride Jelinek: Nobel-premiita, tamen ne unusignife akceptita;;;REDAKCIE;nobel-premio;;anonco
35 - 2004;decembro;212;306-311;Ilpo Tiihonen;Donu al mi paciencon skribi unu vorton, nur vorton;Anja Karkiaiinen;finna;BELETRO;poezio;;poezio tradukita
35 - 2004;decembro;212;312;Constantin Dominte;Metamorfozo;;;BELETRO;artikolo;;prozo originala
35 - 2004;decembro;212;313-314;Jean-Luc Tortel;André Cherpillod perfekte venkis la lingvajn malfacilaĵojn;;;TRADUKARTO;recenzo;Guy de Maupassant (2003), Historio de farmobiena servistino, tr. André Cherpillod;recenzo
35 - 2004;decembro;212;315-316;Ario de Rolales;Sendependiĝa proklamo de la indiĝenaj popoloj;Manuel de Seabra;hispana;ESEO;prozo;;prozo tradukita
35 - 2004;decembro;212;317-323;Bertil Englund;Trinki - Ami - Morti: Bellman, poeto kaj trubaduro;;;ESEO;eseo;;eseo originala
35 - 2004;decembro;212;324;Anna Lászay;La Verko de la Jaro 2004;;;KONKURSFAKO;premio;;anonco
35 - 2004;decembro;212;325-326;Jean-Marie Ries;Muzikaj lumbildoj;;;BELETRO;poemo;;poezio originala
35 - 2004;decembro;212;327-331;Ottó Haszpra;Sciencaj kaj fakaj aplikoj de esperanto de la komenco ĝis 2002;;;PLANLINGVISTIKO;eseo;;eseo originala
35 - 2004;decembro;212;332;Milena Makaveeva;Por riĉigo de nia muzika kulturo;;;MUZIKO;recenzo;"Kantas: L. Venturelli kaj J.-T. von Büren; pianludas G. Giusta (2004), Lida ludo.
Klasika muziko kaj kanto en Esperanto (KD)";recenzo
35 - 2004;decembro;212;334;Feldman Ruben Gonzelez;Meditoj pri medito;;;HUMURO;artikolo;;prozo originala
36 - 2005;februaro;213;3;Massimo Acciai;Post 550.000 jaroj;;;UVERTURO;poemo;;poezio originala
36 - 2005;februaro;213;4;Marc Hiltbrand;Arĝenta jaro por LF-koop;;;NOVJARA SALUTO;dokumento;;eseo originala
