lf_indekso;;;;;;;;;;;
lf_indekso;;;;;;;;;;;
jaro;monato;n-ro;paĝo(j);aŭtoro(j);titolo;tradukis;fontlingvo;rubriko;ŝlosilvorto;recenzita verko/filmo;tipologio
02 - 1971;oktobro;9;4;;Konfirmo de nova talanto (Pri Stefano Nemere);;;BELETRO;originala poezio;;poezio originala
02 - 1971;oktobro;9;5;William Auld;Mezaĝulo al la hodiaŭa junularo;;;BELETRO;originala poezio;;poezio originala
02 - 1971;oktobro;9;6;Gianluigi Gimelli;Okuloj;;;BELETRO;originala poezio;;poezio originala
02 - 1971;oktobro;9;7-9;Lina Gabrielli;La granda skandalo;;;BELETRO;originala prozo;;prozo originala
02 - 1971;oktobro;9;10;F. Simonnet;"SemLK - Seminario ""Lingvo kaj Kulturo"" 1971";;;ESEO;referato;;eseo originala
02 - 1971;oktobro;9;11-13;Giorgio Silfer;Kafumante kun Bill Auld;;;INTERVJUO;intervjuo/aktualaĵoj;;intervjuo
02 - 1971;oktobro;9;13-14;Carlo Minnaja;Heine en Esperanto;;;EN VITRINO;recenzo;;recenzo
02 - 1971;oktobro;9;15;Michel Duc Goninaz;Al la solvo de literatura enigmo?;;;HISTORIO;literaturhistorio;;eseo originala
02 - 1971;oktobro;9;16;Tinin Mantegazza;Tio gravas: ne interkompreniĝi;;;HUMURO;brikobrako;;eseo originala
02 - 1971;oktobro;9;17-18;Giovanni B. Briano;Muzikaj problemoj;;;MUZIKO;muzikologio;;eseo originala
02 - 1971;oktobro;9;19;Asterisko;Homoj iris al Luno / Ĉinio iras al UNO;;;REDAKCIE;asterisko;;eseo originala
02 - 1971;decembro;10;2-3;Nicolino Rossi;Ĉu ankaŭ… poeto?;;;BELETRO;originala poezio;;poezio originala
02 - 1971;decembro;10;4;;Primo Levi;;;HISTORIO;biografio;;nekrologo
02 - 1971;decembro;10;5-10;Primo Levi;La kanto de Uliso;Clelia Conterno;itala;BELETRO;tradukita prozo;;prozo tradukita
02 - 1971;decembro;10;11-13;Giorgio Silfer;Kaj tamen estas Varsovio;;;TEATRO;teatro;;teatro originala
02 - 1971;decembro;10;13-14;István Szerdahelyi;Lingvistika ĉenludo;;;LINGVISTIKO;lingvistiko;;eseo originala
02 - 1971;decembro;10;15-16;Carlo Minnaja;Pri la pasintjara recenzado;;;EN VITRINO;recenzoj;;recenzo
02 - 1971;decembro;10;17;;Patrolkonkurso 1972;;;KONKURSFAKO;konkursoj;;anonco
02 - 1971;decembro;10;18-19;Clelia Conterno;Gyula Baghy (1891-1967);;;MEMORE PRI;galerio;;nekrologo
03 - 1972;februaro-aprilo;11-12;2-3;;Edwin de Kock (enpremiere por Literatura Foiro);;;INTERVJUO;intervjuo;;intervjuo
03 - 1972;februaro-aprilo;11-12;4-5;Edwin de Kock;Poemoj;;;BELETRO;originala poezio;;poezio originala
03 - 1972;februaro-aprilo;11-12;6;;Milena Milani;;;HISTORIO;biografio;;nekrologo
03 - 1972;februaro-aprilo;11-12;7-12;Milena Milani;La knabino nomata Julio;Giorgio Silfer;itala;BELETRO;tradukita prozo/romano;;prozo tradukita
03 - 1972;februaro-aprilo;11-12;13;Filippo Porcheddu;Joĉjo betono;;;HUMURO;humuro;;prozo originala
03 - 1972;februaro-aprilo;11-12;14-15;Carlo Minnaja;Grava evento en la traduka kampo;;;EN VITRINO;recenzo;(1971), Apenaŭ bukedeto: poemoj tradukitaj el la franca literaturo. tr. Roger Bernard;recenzo
03 - 1972;februaro-aprilo;11-12;15-16;Giorgio Silfer;Bonvenon ĉe S. U. K.;;;REDAKCIE;evento;;anonco
03 - 1972;februaro-aprilo;11-12;17-19;Vera Staniĉ;Kiel orientiĝi tra la porinfana literaturo?;;;INFANLITERATURO;infanliteraturo;;prozo originala
03 - 1972;februaro-aprilo;11-12;20-23;Joseph McGregor;La povostrukturo en la nuntempa okcidenta socio;;;MEMORE PRI;galerio;;nekrologo
03 - 1972;februaro-aprilo;11-12;23-25;Nicolino Rossi;Baghy en duobla formato … TK;;;EN VITRINO;recenzo;Julio Baghy (1971), Viktimoj  / Sur sanga tero;recenzo
03 - 1972;februaro-aprilo;11-12;26;Clelia Conterno;Kálmán Kalocsay (1891-);;;HISTORIO;biografio;;nekrologo
03 - 1972;februaro-aprilo;11-12;27;Asterisko;Mazzini hieraŭ kaj morgaŭ;;;HISTORIO;biografio;;nekrologo
03 - 1972;junio;13;2-4;Licia Sacchi, Giorgio Silfer;La 26a Avinjona Festivalo;;;INTERVJUO;intervjuo;;intervjuo
03 - 1972;junio;13;4-5;Asterikso;La ĝojo esti gaja;;;REDAKCIE;asterisko;;eseo originala
03 - 1972;junio;13;6-13;Giorgio Silfer;Puĉo;;;BELETRO;originala prozo;;prozo originala
03 - 1972;junio;13;13-14;Clelia Conterno;Marjorie Boulton (1924 -);;;MEMORE PRI;galerio;;nekrologo
03 - 1972;junio;13;15-18;Winfried Schumacher;Kompara blasfemologio;;;LINGVISTIKO;lingvistiko;;eseo originala
03 - 1972;junio;13;17;Filippo Porcheddu;Brikabrako;;;HUMURO;humuro;;prozo originala
03 - 1972;aŭgusto;14;2-3;Giorgio Silfer;Konfesoj de pioniro;;;INTERVJUO;intervjuo;;intervjuo
03 - 1972;aŭgusto;14;4-5;Nicolino Rossi;Platanoj;;;BELETRO;originala poezio;;poezio originala
03 - 1972;aŭgusto;14;6-12;La Redakcio;La 36a jardua arta ekspozicio en Venecio;;;ARTO;arto;;eseo originala
03 - 1972;aŭgusto;14;13-14;Carlo Minnaja;La reto;;;EN VITRINO;recenzo;Bukar /pseŭdonimo de Jean-Louis Saudian- Rousseau (1972), La reto. (teatraĵo);recenzo
03 - 1972;aŭgusto;14;15-16;Clelia Conterno;Ferenc Szilágyi (1895-1967);;;MEMORE PRI;galerio;;nekrologo
03 - 1972;aŭgusto;14;17;Filippo Porcheddu;Joĉjo betono;;;HUMURO;humuro;;prozo originala
03 - 1972;aŭgusto;14;16-18;Asterikso;De unu al alia;;;REDAKCIE;asterisko;;eseo originala
03 - 1972;oktobro;15;2-3;Gianluigi Gimelli;Mi mem;;;BELETRO;originala poezio;;poezio originala
03 - 1972;oktobro;15;4;Kjell Walraamoen;Floroj apud abismo;;;BELETRO;originala poezio;;poezio originala
03 - 1972;oktobro;15;5-6;Adriana Ravoni;Dialogo inter infano kaj lacertego;;;BELETRO;originala poezio;;poezio originala
03 - 1972;oktobro;15;7;Julius Balbin;Consecutio temporis;;;BELETRO;originala poezio;;poezio originala
03 - 1972;oktobro;15;8;La Redakcio;Unu ŝtupon plie (pri la literatura Patrolkonkurso);;;KONKURSFAKO;konkursoj;;anonco
03 - 1972;oktobro;15;9-13;Nevena Nedelĉeva;Kio estas lumo?;;;BELETRO;originala prozo;;prozo originala
03 - 1972;oktobro;15;14-15;Marinko Ĝivoje;Ilirologio daŭre aktuala;;;SCIENCO;arkeologio;;eseo originala
03 - 1972;oktobro;15;17;Filippo Porcheddu;Joĉjo betono;;;HUMURO;humuro;;prozo originala
03 - 1972;oktobro;15;18;Asterikso;La bravaj Nederlandanoj;;;REDAKCIE;asterisko;;eseo originala
03 - 1972;decembro;16;3-5;Giorgio Silfer;Pupteatro: malbela anasido de la arto;;;TEATRO;teatro;;teatro originala
03 - 1972;decembro;16;6;Nicolino Rossi;Al Vietnámio;;;BELETRO;originala poezio;;poezio originala
03 - 1972;decembro;16;7-8;Vicenzo Cardarelli;La mevoj, Aŭtuo, Al la morto;Gaudenzio Pisoni;itala;BELETRO;tradukita poezio;;poezio tradukita
03 - 1972;decembro;16;9-14;Carlo Minnaja;Preteratentita perlo;;;EN VITRINO;recenzoj;Julio Baghy (1958), Sonĝe sub pomarbo;recenzo
03 - 1972;decembro;16;11;Filippo Porcheddu;Joĉjo betono;;;HUMURO;humuro;;prozo originala
03 - 1972;decembro;16;15;Clelia Conterno;Stellan Engholm (1899 - 1960);;;MEMORE PRI;galerio;;nekrologo
03 - 1972;decembro;16;16-17;Reinhard Haupental;Esenco kaj celo de Interlingvistiko;;;LINGVISTIKO;lingvistiko;;eseo originala
04 - 1973;februaro-aprilo;17-18;2;La Redakcio;Stanislaw Lec;;;KOMENTARIO;ni ŝatus en esperanto;;eseo originala
04 - 1973;februaro-aprilo;17-18;3-5;Stanislaw Lec;"El ""Nekombitaj Pensoj""";Jerzy Banacki;pola;BELETRO;tradukita poezio;;poezio tradukita
04 - 1973;februaro-aprilo;17-18;6-8;Giorgio Silfer kaj Mario di Gregorio;Basa voĉo por laŭta esperantisto;;;INTERVJUO;intervjuo;;intervjuo
04 - 1973;februaro-aprilo;17-18;9-12;Humphrey Tonkin;Kalmanaj metiistoj el Ateno;;;EN VITRINO;recenzoj;;recenzo
04 - 1973;februaro-aprilo;17-18;13;Asterisko;Lasta instrujaro;;;BELETRO;prozo;;prozo originala
04 - 1973;februaro-aprilo;17-18;14-17;Gianluigi Gimelli;La Etruskoj, idoj de l’ mistero;;;SCIENCO;arkeologio;;eseo originala
04 - 1973;februaro-aprilo;17-18;18-22;István Szerdahelyi;Lingvistiko Interlingvistiko Esperanto;;;LINGVISTIKO;lingvistiko;;eseo originala
04 - 1973;februaro-aprilo;17-18;22-23;Clelia Conterno;Raymond Schwartz (1894 -);;;MEMORE PRI;galerio;;nekrologo
04 - 1973;februaro-aprilo;17-18;24-26;Nicolino Rossi;Verkoj de Nicolino Rossi;;;BELETRO;originala poezio;;poezio originala
04 - 1973;junio;19;2-3;Giorgio Silfer;Babilante en restoracio;;;REDAKCIE;aktualaĵoj;;anonco
04 - 1973;junio;19;4-5;Reinhard Haupental;Omaĝe al Schwartz;;;BELETRO;originala poezio;;poezio originala
04 - 1973;junio;19;5-8;Raymond Schwartz;Poemoj;;;BELETRO;originala poezio;;poezio originala
04 - 1973;junio;19;9-10;Pál Balkányi;La Tragedio de l’ Homo;Kálmán Kalocsay;hungara;BELETRO;tradukita poezio;;poezio tradukita
04 - 1973;junio;19;11;Clelia Conterno;William Auld (1924-);;;MEMORE PRI;galerio;;nekrologo
04 - 1973;junio;19;12-14;Reinhard Haupental;La arkaismoj en Esperanto;;;LINGVISTIKO;lingvistiko;;eseo originala
04 - 1973;junio;19;15-16;S. Cantoni;Sekso ĉe konfesejo;;;EN VITRINO;recenzo;Norberto Valentini e Clara Di Meglio (1973), Il sesso in confessionale;recenzo
04 - 1973;junio;19;17;Michel Duc Goninaz;Juna Amiko;;;DIDAKTIKO;pedagogio;;eseo originala
04 - 1973;junio;19;18;Asterisko;Bezono pri ekvilibro;;;DIDAKTIKO;pedagogio;;eseo originala
04 - 1973;aŭgusto;20;2;István Szerdahelyi;Esperantonimoj;;;LINGVISTIKO;lingvistiko;;eseo originala
04 - 1973;aŭgusto;20;3;;Giovanni Peterlongo;;;HISTORIO;biografio;;nekrologo
04 - 1973;aŭgusto;20;4-6;Clelia Conterno;Kiel ni reviziis la ĉefverkon;;;ESEO;eseo;;eseo originala
04 - 1973;aŭgusto;20;7-8;Dante;"El ""Dia Komedio""";Giovanni Peterlongo;itala;BELETRO;tradukita poezio;;poezio tradukita
04 - 1973;aŭgusto;20;9;Giorgio Silfer;Senĉenaj dialogoj;;;TEATRO;kabareto;;teatro originala
04 - 1973;aŭgusto;20;10-13;Giorgio Silfer;Doktoro Rosales;;;TEATRO;originala dramo;;teatro originala
04 - 1973;aŭgusto;20;14-15;Kjell Walraamoen;Branĉo super la abismo;;;BELETRO;originala poezio;;poezio originala
04 - 1973;aŭgusto;20;15-16;Julius Balbin;Kristnasko 1966 en Nov-Jorko;;;BELETRO;originala poezio;;poezio originala
04 - 1973;aŭgusto;20;17-18;Albert Goodhier;Printempo en Glasgovo;;;BELETRO;originala prozo;;prozo originala
04 - 1973;aŭgusto;20;19-21;Cesare Arieti;La porcio;;;BELETRO;originala prozo;;prozo originala
04 - 1973;oktobro;21;2;Nicolino Rossi;El Capri rememore al Nikolaj Rytjkov (omaĝo);;;TEATRO;teatro;;teatro originala
04 - 1973;oktobro;21;3-4;BBC-Radio Times;Tiom malvarme, ke eĉ la birdoj mortis;Mario di Gregorio;angla;HISTORIO;omaĝo;;nekrologo
